user_id	playtime_forever	playtime_2weeks	appid
	2068		304930
	218		250400
	249		224600
	95		299480
	200		298520
	33		233610
	5		323370
	12		341080
	1836		339280
	5432		232090
	0		232150
	49		364470
	492		319910
	132		265930
	657		238370
	0		397080
	1070		322330
	645		252950
	7741		386360
	138		389300
	155		352460
	85		299360
	3964		434650
	5112		444090
	0		596350
	0		473710
	2296	456	504370
	0		539730
	0		542970
	0		542971
	0		542972
	0		542974
	0		542975
	0		581470
	21		648430
7.65612E+16			
7.65612E+16	528		4000
	1302		115320
	1495		220240
	173		11610
	55		17080
	208		104700
	774		113400
	1		201230
	531		208090
	1		212070
	225		212160
	345		218230
	11526		230410
	1078		234310
	162		236390
	193		238960
	162		240320
	173		243870
	19		209870
	42		229100
	48		233630
	0		242590
	151		242720
	58		251670
	6		259020
	455		271290
	4593		226320
	37		235340
	0		246280
	474		257730
	95		227180
	64		204450
	1305		72850
	455		224060
	4769		218620
	924		235600
	2628		209000
	365		265930
	640		221100
	95		218640
	464		8930
	1376		550
	0		223530
	4013		271590
	0		273110
	0		274620
	1040		292030
	85		293540
	13		293560
	580		293780
	702		301520
	836		304030
	418		304050
	462		304930
	198		224600
	1429		306830
	525		227700
	301		9900
	261		291480
	2432		9880
	867		227940
	21		269910
	18		315640
	83		316010
	276		222900
	1		317780
	80		258160
	978		261640
	0		205790
	3691		241930
	6		312150
	2515		323370
	3		209650
	1033		209660
	5		323900
	2227		239140
	91		327690
	57		223650
	643		289650
	64		17570
	424		331500
	2204		274940
	127		333930
	216		277950
	242		250900
	345		339610
	286		219150
	400		274170
	0		500
	5770		273350
	80		345520
	18302		346110
	8		407530
	57		339280
	12		355840
	37		356330
	126		235540
	37		322330
	234		341940
	387		377160
	684		381210
	411		385380
	1372		386070
	0		386360
	159		10680
	47		49540
	290		386940
	48		291550
	723		389040
	138		352460
	365		276770
	499		234140
	132		394970
	615		402710
	0		205100
	770		403640
	126		299360
	1935		410320
	205		236110
	7		280790
	654		365590
	0		524440
	181		448460
	1269		364360
	1331		449800
	239		310380
	632		495910
	1033		512900
	2		537180
	21		489830
	26		558100
	30		8500
	62		561740
	472		574050
	432	432	582660
	172		375230
	82		591530
	741	741	356190
	2	2	593620
	21		511800
	59	59	619080
	71		204300
	0		386180
	9		323580
	23		215280
	1748	522	435150
7.65612E+16	1		240
	5269		4000
	0		2700
	746		550
	0		223530
	337		8980
	0		37400
	0		37420
	3		204360
	23		200170
	0		1900
	0		113020
	2		233250
	0		241600
	636		239820
	341		251570
	113		252610
	31		252850
	0		253880
	0		259280
	0		259300
	409		205100
	1267		49520
	0		221910
	0		261030
	640		262060
	112		213670
	0		201810
	0		246900
	0		255520
	0		265210
	3971		286160
	747		298630
	547		238460
	0		237930
	428		312530
	0		318530
	0		318600
	7		323580
	48		323850
	0		214490
	2167		326460
	17		45760
	0		730
	9		282070
	9		337850
	33		250900
