steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
1690,Space Empires V,game,14.99,10/16/06 00:00,68,223,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1690/header.jpg?t=1447350865
1700,Arx Fatalis,game,4.99,4/3/07 00:00,77,494,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1700/header.jpg?t=1478190772
1840,Source Filmmaker,game,0,7/10/12 00:00,,11576,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1840/header.jpg?t=1447356104
1900,Earth 2160,game,4.99,4/1/06 00:00,73,477,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1900/header.jpg?t=1478034392
1930,Two Worlds Epic Edition,game,9.99,4/30/09 00:00,65,2872,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1930/header.jpg?t=1464111430
2100,Dark Messiah of Might & Magic,game,9.99,10/25/06 00:00,72,3328,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2100/header.jpg?t=1447350903
2200,Quake III Arena,game,14.99,8/3/07 00:00,,834,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2200/header.jpg?t=1447351095
2210,Quake IV,game,14.99,8/4/11 00:00,81,613,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2210/header.jpg?t=1447351610
2270,Wolfenstein 3D,game,4.99,8/3/07 00:00,,1205,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2270/header.jpg?t=1447351096
2280,Ultimate Doom,game,4.99,8/3/07 00:00,,2627,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2280/header.jpg?t=1447351097
2290,Final DOOM,game,4.99,8/3/07 00:00,,459,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2290/header.jpg?t=1447351098
2300,DOOM II,game,4.99,8/3/07 00:00,83,1697,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2300/header.jpg?t=1449848674
2310,QUAKE,game,4.99,8/3/07 00:00,94,1663,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2310/header.jpg?t=1447351100
2320,QUAKE II,game,4.99,8/3/07 00:00,,832,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2320/header.jpg?t=1447351101
2330,QUAKE II Mission Pack: The Reckoning,game,2.99,8/3/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2330/header.jpg?t=1447351102
2340,QUAKE II Mission Pack: Ground Zero,game,2.99,8/3/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2340/header.jpg?t=1447351102
2350,QUAKE III: Team Arena,game,14.99,8/3/07 00:00,69,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2350/header.jpg?t=1447351103
2360,HeXen: Beyond Heretic,game,4.99,8/3/07 00:00,,183,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2360/header.jpg?t=1447351105
2370,HeXen: Deathkings of the Dark Citadel,game,4.99,8/3/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2370/header.jpg?t=1447351106
2390,Heretic: Shadow of the Serpent Riders,game,4.99,8/3/07 00:00,,275,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2390/header.jpg?t=1447351107
2400,The Ship: Murder Party,game,0,7/11/06 00:00,76,5248,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2400/header.jpg?t=1477665793
2420,The Ship: Single Player,game,,11/20/06 00:00,,752,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2420/header.jpg?t=1447350944
2450,Bloody Good Time,game,4.99,10/29/10 00:00,73,759,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2450/header.jpg?t=1447353150
2500,Shadowgrounds,game,6.99,5/8/06 00:00,74,1055,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/2500/header.jpg?t=1476272970
2520,Gumboy - Crazy Adventures‰ã¢,game,0,12/19/06 00:00,69,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2520/header.jpg?t=1470827912
2540,RIP - Trilogy‰ã¢,game,4.99,6/1/07 00:00,,299,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2540/header.jpg?t=1447351053
2570,Vigil: Blood Bitterness‰ã¢,game,0,6/29/07 00:00,61,129,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2570/header.jpg?t=1472555208
2590,Alpha Prime,game,4.99,11/7/07 00:00,59,1019,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2590/header.jpg?t=1478602668
2600,Vampire: The Masquerade - Bloodlines,game,19.99,3/22/07 00:00,80,4784,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2600/header.jpg?t=1447350961
2610,GUN‰ã¢,game,19.99,10/13/06 00:00,76,476,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2610/header.jpg?t=1447350928
2620,Call of Dutyå¨,game,19.99,10/13/06 00:00,91,1058,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2620/header.jpg?t=1450407165
2630,Call of Dutyå¨ 2,game,19.99,10/13/06 00:00,86,1638,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/2630/header.jpg?t=1485219292
2640,Call of Duty: United Offensive,game,19.99,10/13/06 00:00,87,380,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2640/header.jpg?t=1450407174
2700,RollerCoaster Tycoonå¨ 3: Platinum,game,19.99,3/12/08 00:00,81,2924,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/2700/header.jpg?t=1485262035
2710,Act of War: Direct Action,game,2.99,3/12/08 00:00,82,137,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2710/header.jpg?t=1447351138
2720,ThreadSpace: Hyperbol,game,9.99,7/12/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2720/header.jpg?t=1447351073
2780,ARMA: Combat Operations,game,7.99,3/12/08 00:00,74,197,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2780/header.jpg?t=1447351139
2800,X2: The Threat,game,4.99,7/21/06 00:00,72,211,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2800/header.jpg?t=1458207805
2810,X3: Reunion,game,9.99,7/21/06 00:00,71,309,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/2810/header.jpg?t=1458211384
2820,X3: Terran Conflict,game,15.99,10/16/08 00:00,73,1448,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/2820/header.jpg?t=1458209718
2840,X: Beyond the Frontier,game,4.99,10/8/10 00:00,67,147,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2840/header.jpg?t=1447353612
2850,X: Tension,game,4.99,10/8/10 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2850/header.jpg?t=1447353611
2870,X Rebirth,game,29.99,11/15/13 00:00,33,5940,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/2870/header.jpg?t=1481890986
2900,688(I) Hunter/Killer,game,9.99,10/26/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2900/header.jpg?t=1447350933
2910,Fleet Command,game,9.99,10/26/06 00:00,,106,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2910/header.jpg?t=1447350934
2920,Sub Command,game,9.99,10/26/06 00:00,84,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2920/header.jpg?t=1447350935
2990,FlatOut 2‰ã¢,game,9.99,12/21/06 00:00,76,3592,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2990/header.jpg?t=1447350951
3000,GTI Racing,game,4.99,8/24/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3000/header.jpg?t=1447350869
3010,Xpand Rally,game,4.99,8/24/06 00:00,82,134,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3010/header.jpg?t=1447350870
3020,Call of Juarez‰ã¢,game,249,11/8/07 00:00,72,606,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3020/header.jpg?t=1447350962
3050,Xpand Rally Xtreme,game,4.99,10/8/08 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3050/header.jpg?t=1447351406
3130,Men of War: Red Tide,game,4.99,11/1/09 00:00,77,269,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3130/header.jpg?t=1447352618
3170,King's Bounty: Armored Princess,game,9.99,11/19/09 00:00,82,385,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3170/header.jpg?t=1476894766
3230,Genesis Rising,game,4.99,8/6/07 00:00,57,107,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3230/header.jpg?t=1471962185
3260,Safecracker: The Ultimate Puzzle Adventure,game,4.99,8/29/07 00:00,69,351,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3260/header.jpg?t=1472037660
3270,Painkiller Overdose,game,4.99,10/30/07 00:00,65,418,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3270/header.jpg?t=1472036332
3300,Bejeweled 2 Deluxe,game,4.99,8/30/06 00:00,,,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3300/header.jpg?t=1447350876
3310,Chuzzle Deluxe,game,4.99,8/30/06 00:00,,105,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3310/header.jpg?t=1447350877
3320,Insaniquarium Deluxe,game,4.99,8/30/06 00:00,,565,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3320/header.jpg?t=1447350878
3330,Zuma Deluxe,game,4.99,8/30/06 00:00,,167,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3330/header.jpg?t=1447350874
3340,AstroPop Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3340/header.jpg?t=1447350878
3350,Bejeweled Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3350/header.jpg?t=1447350878
3360,Big Money! Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3360/header.jpg?t=1447350880
3380,Dynomite Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3380/header.jpg?t=1447350881
3390,Feeding Frenzy 2 Deluxe,game,4.99,8/30/06 00:00,,199,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3390/header.jpg?t=1447350882
3400,Hammer Heads Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3400/header.jpg?t=1447350883
3410,Heavy Weapon Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3410/header.jpg?t=1447350883
3420,Iggle Pop Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3420/header.jpg?t=1447350885
3430,Pizza Frenzy Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3430/header.jpg?t=1447350886
3440,Rocket Mania Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3440/header.jpg?t=1447350887
3450,Typer Shark! Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3450/header.jpg?t=1447350888
3460,Talismania Deluxe,game,4.99,8/30/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3460/header.jpg?t=1447350889
3480,Peggle Deluxe,game,4.99,3/6/07 00:00,,801,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3480/header.jpg?t=1447350989
3483,Peggle Extreme,game,0,9/11/07 00:00,,640,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3483/header.jpg?t=1447351145
3490,Venice Deluxe,game,4.99,6/25/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3490/header.jpg?t=1447351048
3500,Mystery P.I.‰ã¢ - The Lottery Ticket,game,4.99,10/16/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3500/header.jpg?t=1447351168
3510,Amazing Adventures The Lost Tomb‰ã¢,game,4.99,12/13/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3510/header.jpg?t=1447351196
3520,Mystery P.I.‰ã¢ - The Vegas Heist,game,4.99,6/5/08 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3520/header.jpg?t=1447351348
