App Name	Download Times
Counter-Strike: Global Offensive	3521
Garry's Mod	3274
Dead Realm	3139
Unturned	2894
Left 4 Dead 2	2631
PAYDAY 2	2584
Rocket LeagueŒ¬	1861
Warframe	1846
Terraria	1812
Rust	1700
