steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
440380,Super Kitty Boing Boing,game,5.99,2016-03-03 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/440380/header.jpg?t=1466849480
440450,Escape: Sierra Leone,game,9.99,2016-12-05 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/440450/header.jpg?t=1482452925
440630,The Brookhaven Experiment,game,19.99,2016-07-05 00:00:00,,620.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/440630/header.jpg?t=1478096202
440650,Niche - a genetics survival game,game,17.99,2017-09-21 00:00:00,,1129.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/440650/header.jpg?t=1506020799
440750,Story of a Cube,game,5.99,2016-03-04 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/440750/header.jpg?t=1457685296
440790,Spellbind : Luppe's tale,game,2.99,2016-03-04 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/440790/header.jpg?t=1494914050
440800,Trial by Viking,game,12.99,2016-03-29 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/440800/header.jpg?t=1466641062
441050,Polandball: Can into Space!,game,2.99,2016-06-15 00:00:00,,292.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/441050/header.jpg?t=1497542114
441670,Jelly Killer,game,2.99,2016-03-24 00:00:00,,117.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/441670/header.jpg?t=1458860484
441770,MindTex 2,game,19.99,2016-02-22 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/441770/header.jpg?t=1456137695
441790,Fragmented,game,9.99,2017-08-15 00:00:00,,1402.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/441790/header.jpg?t=1502802603
442500,Age of Gladiators,game,9.99,2016-02-25 00:00:00,,413.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/442500/header.jpg?t=1468377111
442710,Fantasy Tales Online,game,0.0,2016-05-05 00:00:00,,370.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/442710/header.jpg?t=1463524487
